"Table A.1.1.1 Mainline, no wind, AW0, 40kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
,,,,,,
"Appendix A.2 With wind, normal suspension, AW0",,,,,,
,,,,,,
"A.2.1  Mainline, with wind,AW0,40kmph Results",,,,,,
,,,,,,
"Table A.2.1.1 Mainline, with wind,AW0,40kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,161,3848,48.5,3856.8
2,50.9,3850,211.9,3846.3,99.4,3856.3
3,60.4,3800,219.7,3795.9,108.5,3806.3
4,284.5,3780.7,443.1,3768.7,332.4,3784.8
5,562.6,3718,719,3696.3,609.9,3719.5
6,924.4,3593.2,1076.5,3558.8,970.6,3591.3
7,1211.6,3463.9,1359.2,3419.4,1256.6,3458.6
8,1392,3357.1,1535.9,3306.2,1436.1,3350.2
9,1483,3228.1,1622.4,3174,1526,3220.3
10,1524,2082.3,1623.9,2026.8,1560.3,2085.2
10',1524,2082.3,1623.9,1977,1560.3,2035.4
11,1524,1742.7,1612.3,1637.4,1559.7,1695.8
12,1504.5,1618.7,1588.6,1514.1,1540,1571.9
13,1413,1236.9,1484.4,1289.9,1448,1237.5
14,1448,1236.9,1517.3,1289.6,1479.5,1237.8
15,1448,1207.9,1516.3,1109.1,1479.4,1160.9
16,1435.9,1205.3,1504.1,1106.9,1467.3,1158.4
17,1372.5,930.9,1434.1,833.3,1407.3,884.4
18,1372.5,430.6,1421.9,357.2,1406.9,386.1
19,0,430.6,49.4,377.9,34.4,387.4
,,,,,,
51,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.1.1 Mainline,with wind,AW0,40kmph Results",,,,,,
,,,,,,
52,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.2  Mainline, with wind,AW0,50kmph Results",,,,,,
,,,,,,
"Table A.2.2.1 Mainline, with wind,AW0,50kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,157.4,3852.8,65.2,3866.9
2,50.9,3850,208.3,3851,116.1,3866.4
3,60.4,3800,216.1,3800.7,125.2,3816.3
4,284.5,3780.7,439.6,3773.7,349.1,3794.8
5,562.6,3718,715.5,3701.3,626.6,3729.4
6,924.4,3593.2,1073,3564,987.2,3601
7,1211.6,3463.9,1355.8,3424.8,1273.2,3468.9
8,1392,3357.1,1532.6,3311.8,1452.5,3360.3
9,1483,3228.1,1619.2,3179.6,1542.3,3230.4
10,1524,2082.3,1621.3,2032.4,1572.8,2084.2
10',1524,2082.3,1621.3,1982.6,1572.8,2034.4
11,1524,1742.7,1610,1642.9,1569.8,1694.8
12,1504.5,1618.7,1586.6,1519.6,1549.2,1571
13,1413,1236.9,1483.1,1287.1,1454.6,1237.8
14,1448,1236.9,1513.5,1287.3,1484.4,1238.9
15,1448,1207.9,1512.6,1111.4,1484.2,1159.9
16,1435.9,1205.3,1500.4,1109.2,1472.1,1157.4
17,1372.5,930.9,1433.1,836,1411.7,884.4
18,1372.5,430.6,1421.5,343.2,1408.1,387.4
19,0,430.6,49,374.8,35.6,387.9
,,,,,,
53,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.2.1 Mainline,with wind,AW0,50kmph Results",,,,,,
,,,,,,
54,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.3  Mainline, with wind,AW0,60kmph Results",,,,,,
,,,,,,
"Table A.2.3.1 Mainline, with wind,AW0,60kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,131.4,3861,67.2,3859.4
2,50.9,3850,182.3,3859.5,118.1,3858.7
3,60.4,3800,190.4,3809.2,127,3808.5
4,284.5,3780.7,413.9,3783.4,350.8,3786.2
5,562.6,3718,690.2,3712.6,628.1,3719.7
6,924.4,3593.2,1048.4,3577.2,988.2,3590
7,1211.6,3463.9,1331.8,3439.5,1273.7,3456.8
8,1392,3357.1,1509.2,3327.4,1452.8,3348.8
9,1483,3228.1,1596.9,3187.7,1542.3,3218.7
10,1524,2082.3,1610.1,2040.9,1570.6,2072.4
10',1524,2082.3,1610.1,1991.1,1570.6,2022.7
11,1524,1742.7,1602.2,1652.7,1567,1683.1
12,1504.5,1618.7,1579.9,1529.2,1546.2,1559.3
13,1413,1236.9,1480,1278.3,1451.7,1247.8
14,1448,1236.9,1510.7,1278.2,1482.4,1247.9
15,1448,1207.9,1510,1120.5,1482.2,1150.8
16,1435.9,1205.3,1497.9,1118.2,1470.1,1148.3
17,1372.5,930.9,1432.8,844.4,1408.9,874.4
18,1372.5,430.6,1422.5,346,1408.5,388.9
19,0,430.6,50,374.8,36,387.8
,,,,,,
55,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.3.1 Mainline,with wind,AW0,60kmph Results",,,,,,
,,,,,,
56,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.4  Mainline, with wind,AW0,70kmph Results",,,,,,
,,,,,,
"Table A.2.4.1 Mainline, with wind,AW0,70kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,127,3847.7,55.3,3858.1
2,50.9,3850,177.9,3846.4,106.2,3857.6
3,60.4,3800,186.1,3796.2,115.2,3807.5
4,284.5,3780.7,409.7,3771.2,339.1,3786
5,562.6,3718,686.3,3701.4,616.6,3720.7
6,924.4,3593.2,1045,3567.5,977.3,3592.4
7,1211.6,3463.9,1329.1,3431.2,1263.3,3460.4
8,1392,3357.1,1506.9,3320,1442.7,3351.9
9,1483,3228.1,1594.8,3188.8,1532.5,3222
10,1524,2082.3,1608.8,2043.5,1563.8,2078
10',1524,2082.3,1608.8,1993.8,1563.8,2028.2
11,1524,1742.7,1601.4,1654.2,1561.7,1688.6
12,1504.5,1618.7,1579.2,1530.6,1541.5,1564.7
13,1413,1236.9,1479.5,1277,1448.7,1232.8
14,1448,1236.9,1510,1276.9,1478.5,1244.4
15,1448,1207.9,1509.4,1121.8,1478.4,1154.4
16,1435.9,1205.3,1497.3,1121.6,1466.3,1151.8
17,1372.5,930.9,1432.7,847.6,1407.9,889.1
18,1372.5,430.6,1423.4,352.4,1407.6,390.2
19,0,430.6,50.9,376.2,35.1,388
,,,,,,
57,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.4.1 Mainline,with wind,AW0,70kmph Results",,,,,,
,,,,,,
58,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.5  Mainline, with wind,AW0,80kmph Results",,,,,,
,,,,,,
"Table A.2.5.1 Mainline, with wind,AW0,80kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,126.1,3848.2,45.9,3858.4
2,50.9,3850,177,3846.9,96.8,3857.9
3,60.4,3800,185.3,3796.6,105.9,3807.8
4,284.5,3780.7,408.9,3771.6,329.8,3786.5
5,562.6,3718,685.4,3701.8,607.4,3721.3
6,924.4,3593.2,1044,3567.7,968.1,3593.2
7,1211.6,3463.9,1328.1,3431.3,1254.1,3461.3
8,1392,3357.1,1505.9,3320,1433.8,3354.4
9,1483,3228.1,1593.8,3188.8,1523.9,3224.8
10,1524,2082.3,1609.2,2045.7,1560.5,2087
10',1524,2082.3,1609.2,1995.9,1560.5,2037.2
11,1524,1742.7,1602,1656.3,1559.8,1697.6
12,1504.5,1618.7,1580,1532.7,1540,1573.7
13,1413,1236.9,1480.6,1274.9,1447.9,1235.7
14,1448,1236.9,1511.2,1275.4,1476.4,1236.1
15,1448,1207.9,1510.6,1123.3,1476.3,1162.6
16,1435.9,1205.3,1498.4,1121,1464.2,1160.1
17,1372.5,930.9,1433.9,847.8,1407.8,892.7
18,1372.5,430.6,1423.9,347.5,1410.8,392.4
19,0,430.6,51.4,376.2,38.3,385.3
,,,,,,
59,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.5.1 Mainline,with wind,AW0,80kmph Results",,,,,,
,,,,,,
60,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.6  Mainline, with wind,AW0,90kmph Results",,,,,,
,,,,,,
"Table A.2.6.1 Mainline, with wind,AW0,90kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,131.4,3847.2,41.2,3857.4
2,50.9,3850,182.3,3846,92.1,3857
3,60.4,3800,190.6,3795.7,101.3,3807
4,284.5,3780.7,414.3,3771.1,325.2,3786.2
5,562.6,3718,690.9,3701.8,602.9,3721.6
6,924.4,3593.2,1049.8,3568.4,963.9,3594.4
7,1211.6,3463.9,1333.9,3432.3,1250.5,3468.5
8,1392,3357.1,1511.8,3321.2,1430.6,3361.1
9,1483,3228.1,1599.8,3190.1,1521.2,3231.8
10,1524,2082.3,1614.4,2043.3,1559.3,2085.9
10',1524,2082.3,1614.4,1993.5,1559.3,2036.1
11,1524,1742.7,1606.7,1653.9,1559.9,1697.1
12,1504.5,1618.7,1584.4,1530.4,1540.7,1573
13,1413,1236.9,1484.5,1277.1,1450.4,1236.8
14,1448,1236.9,1515.1,1277.6,1480.9,1236.4
15,1448,1207.9,1514.4,1121.1,1481,1162.3
16,1435.9,1205.3,1502.3,1118.8,1468.9,1159.7
17,1372.5,930.9,1437.3,845.6,1411,885
18,1372.5,430.6,1427.9,383.4,1413.3,392.4
19,0,430.6,55.4,383.3,40.8,385.4
,,,,,,
61,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.6.1 Mainline,with wind,AW0,90kmph Results",,,,,,
,,,,,,
62,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"A.2.7  Mainline, with wind,AW0,100kmph Results",,,,,,
,,,,,,
"Table A.2.7.1 Mainline, with wind,AW0,100kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,134.6,3847,39.7,3857.4
2,50.9,3850,185.5,3845.7,90.6,3857
3,60.4,3800,193.9,3795.5,99.8,3806.9
4,284.5,3780.7,417.5,3770.9,323.7,3785.9
5,562.6,3718,694.1,3701.6,601.4,3721
6,924.4,3593.2,1053,3568.1,962.3,3595.3
7,1211.6,3463.9,1337.2,3432,1248.8,3464.4
8,1392,3357.1,1515.1,3320.9,1428.7,3358.8
9,1483,3228.1,1603,3189.7,1519.4,3229.6
10,1524,2082.3,1617.5,2043,1559.6,2094.3
10',1524,2082.3,1617.5,1993.2,1559.6,2044.5
11,1524,1742.7,1609.8,1653.6,1560.9,1704.9
12,1504.5,1618.7,1587.5,1530.1,1541.9,1580.9
13,1413,1236.9,1487.5,1277.5,1452.1,1229.1
14,1448,1236.9,1517.9,1276.5,1481.2,1229
15,1448,1207.9,1517.3,1122.2,1481.3,1169.7
16,1435.9,1205.3,1505.1,1119.9,1469.2,1167.1
17,1372.5,930.9,1440.4,846.7,1413.1,892.6
18,1372.5,430.6,1431.3,382.6,1415.6,392.3
19,0,430.6,58.8,382.6,43.1,386.7
,,,,,,
63,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure A.2.7.1 Mainline,with wind,AW0,100kmph Results",,,,,,
,,,,,,
64,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
Appendix B Station Platform Result,,,,,,
,,,,,,
"Appendix B.1 No wind, normal suspension, AW0",,,,,,
,,,,,,
"B.1.1  Platform, no wind,AW0,30kmph Results",,,,,,
,,,,,,
"Table B.1.1.1 Platform, no wind,AW0,30kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,85.8,3849.5,84.2,3856.6
2,50.9,3850,136.7,3848.7,135.1,3855.8
3,60.4,3800,145.4,3798.6,143.9,3805.7
4,284.5,3780.7,369.2,3775.8,367.7,3783.1
5,562.6,3718,646.4,3708.9,644.9,3716.3
6,924.4,3593.2,1006.3,3578.5,1005,3586.3
7,1211.6,3463.9,1291.6,3444.8,1290.3,3452.8
8,1392,3357.1,1470.4,3335.3,1469.2,3343.3
9,1483,3228.1,1559.4,3204.9,1558.4,3213
10,1524,2082.3,1583.6,2058.4,1583.7,2070.6
10',1524,2082.3,1583.6,2008.7,1583.7,2020.8
11,1524,1742.7,1578.8,1669.1,1580.5,1681.2
12,1504.5,1618.7,1557.6,1545.4,1559.9,1557.4
13,1413,1236.9,1460.9,1263.1,1465.1,1251.4
14,1448,1236.9,1494.1,1262.1,1495.3,1251.1
15,1448,1207.9,1493.7,1136.6,1495.1,1147.6
16,1435.9,1205.3,1481.6,1134.2,1482.9,1145.1
17,1372.5,930.9,1416.4,859.3,1422.1,870.9
18,1372.5,430.6,1410.1,359,1418,370.6
19,0,430.6,37.6,377.6,45.5,383
,,,,,,
"Figure B.1.1.1 Platform,no wind,AW0,30kmph Results",,,,,,
,,,,,,
66,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"B.1.2  Platform, no wind,AW0,35kmph Results",,,,,,
,,,,,,
"Table B.1.2.1 Platform, no wind,AW0,35kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,100,3847.5,87.1,3854.6
2,50.9,3850,150.9,3846.6,138,3853.9
3,60.4,3800,159.5,3796.5,146.8,3803.7
4,284.5,3780.7,383.3,3773.1,370.6,3781.4
5,562.6,3718,660.3,3705.4,647.9,3715
6,924.4,3593.2,1019.8,3574,1008.1,3585.3
7,1211.6,3463.9,1304.8,3439.5,1293.6,3452.2
8,1392,3357.1,1483.3,3329.5,1472.6,3343
9,1483,3228.1,1572,3198.8,1561.9,3212.7
10,1524,2082.3,1593,2052.3,1588.3,2066.4
10',1524,2082.3,1593,2002.5,1588.3,2016.6
11,1524,1742.7,1587.3,1662.9,1584.1,1677
12,1504.5,1618.7,1565.7,1539.3,1563.1,1553.3
13,1413,1236.9,1467.9,1268.8,1467.1,1255.2
14,1448,1236.9,1500.6,1267.9,1497.2,1254.7
15,1448,1207.9,1500.2,1130.9,1496.9,1144
16,1435.9,1205.3,1488,1128.5,1484.8,1141.6
17,1372.5,930.9,1422.5,853.8,1423.1,867.2
18,1372.5,430.6,1414.5,353.5,1417.4,366.9
19,0,430.6,42,376.5,44.9,383.6
,,,,,,
67,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure B.1.2.1 Platform,no wind,AW0,35kmph Results",,,,,,
,,,,,,
68,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"B.1.3  Platform, no wind,AW0,40kmph Results",,,,,,
,,,,,,
"Table B.1.3.1 Platform, no wind,AW0,40kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,112,3846.3,90.4,3858.4
